umap1,umap2
14.86295,9.917101
14.563419,9.900567
14.809453,9.897513
14.615971,9.908892
14.688528,9.831351
14.711737,9.88903
14.657278,9.847241
14.774353,9.919535
14.797996,9.950799
14.720639,9.93834
14.692052,9.785857
14.6951275,9.857465
14.769753,9.917719
14.607664,9.881325
14.815595,9.888345
14.614465,9.873279
14.626601,9.87858
14.778161,9.905354
14.774033,9.9180975
14.639804,9.9656515
14.787214,9.914918
14.762551,9.9198265
14.641465,9.895241
14.620636,9.903168
14.657578,9.788848
14.689548,9.8046255
14.707623,9.870351
14.765931,9.924365
14.687642,9.844485
14.544758,9.816557
14.691788,9.802032
14.768401,9.914323
14.610571,9.878528
14.780981,9.915455
14.712455,9.889748
14.645448,9.893415
14.697061,9.797318
14.768539,9.921233
14.800044,9.935356
14.63103,9.866541
14.707191,9.819244
14.625608,9.866105
14.734341,9.905056
14.775608,9.911849
14.580404,9.815049
14.620669,9.875614
14.768474,9.917848
14.773004,9.916099
14.624931,9.866353
14.617914,9.886592
14.761735,9.921786
14.765574,9.919567
14.735232,9.9430485
14.637383,9.844648
14.649998,9.882338
14.780569,9.918179
14.728447,9.900305
14.631282,9.862918
14.871646,9.889427
14.59974,9.905144
14.604257,9.892266
14.763881,9.919878
14.703237,9.832299
14.621523,9.878483
14.589283,9.886681
14.823852,9.866821
14.769752,9.937858
14.648479,9.854387
14.799779,9.910145
14.6273,9.887356
14.69296,9.842604
14.633219,9.849349
14.662264,9.885302
14.753593,9.938147
14.756696,9.941326
14.608262,9.879203
14.749794,9.941853
14.641857,9.855717
14.752849,9.947544
14.751024,9.955403
14.631639,9.861227
14.755446,9.932111
14.597995,9.882675
14.630601,9.851923
14.657464,9.82271
14.76535,9.942806
14.598464,9.830484
14.599681,9.847801
14.756103,9.973021
14.760253,9.9533205
14.605264,9.873867
14.615626,9.899927
14.541725,9.835282
14.627484,9.852551
14.621955,9.790419
14.549271,9.8693075
14.724574,9.755713
14.65903,9.80826
14.5997715,9.839065
14.792677,9.961813
14.5780945,9.875056
14.6333065,9.857526
14.600881,9.913142
14.748344,9.946173
14.622604,9.848241
14.561647,9.800248
14.599716,9.851345
14.811481,9.90909
14.619219,9.745762
14.547023,9.78846
14.71795,9.975756
14.6144285,9.838921
14.660094,9.812062
14.645669,9.876941
14.667366,9.912649
14.577572,9.7935505
14.679413,9.865783
14.565262,9.842779
14.5876,9.704318
14.721311,10.0362835
14.5201845,9.833659
14.631224,9.817182
14.579805,9.807469
14.567676,9.814127
14.692546,10.008415
14.508363,9.831693
18.002993,4.332796
14.691083,9.993652
14.634333,9.814465
14.691083,9.993652
14.504987,9.787186
14.566539,9.821008
14.607432,9.796308
